Date,Country,Event,Category,Dog distance (km),Elevation (m+),Dog access,Status,Notes,Primary source,Secondary source,Origin
2026-02-08,France,Trail des Fontaines,canitrail,12,,dedicated canitrail distance,source-confirmed 2026,Chrono-Start lists a CaniTrail 12 km start.,https://chrono-start.com/events/trail-des-fontaines-624-922-102/,,uploaded 2026 CSV
2026-02-21,Netherlands,Bosbokken Canitrail,canitrail,15,,dedicated canitrail distance,source-confirmed 2026,Official Bosbokken pages say Saturday has a separate canitrail; current program shows 15 km.,https://www.bosbokken.nl/info/,https://www.bosbokken.nl/programma/,uploaded 2026 CSV
2026-02-21 to 2026-02-22,Spain,Copa de España Mushing Tierra Sprint – Boborás,canicross|bike jöring|scooter,,,RFEDI dryland mushing cup,held,"Official RFEDI event notice for Boborás, Orense.",https://rfedi.es/mushing/,,European federation sweep 2026-09-12
2026-03-01,Belgium,Alden Biesen Trail & Walk,dog friendly trail,10|16|20|27,,dogs allowed in regular trail,source-confirmed 2026,Dogs explicitly allowed on trail and walk; leashed.,https://canitrail.nl/events/alden-biesen-trail-walk/,,uploaded 2026 CSV
2026-03-07 to 2026-03-08,France,Championnats de France Terre 2026 – Canicross,canicross,5,,FFSLC championship canicross,held,Official FFSLC French dryland championship; adult Canicross 5 km on both days.,https://courses.ffslc.fr/event-fiche/906,,FFSLC Canicross import 2026-09-12
2026-03-07,Germany,MOUNTAINMAN Wintertrail Reit im Winkl,dogs-trail,14|22,150|651,own Dogs-Trail start + separate ranking,held / sold out,Dog entries sold out; S 14 km and M 22 km available with dog.,https://mountainman.de/trailrunning-events/alps/wintertrail-reit-im-winkl/dogs-trail/,,web verification 2026-09-11
2026-03-14,Germany,Canitrail-Lauf durchs Nettetal 4.0,canitrail,10|20,,dedicated canitrail event,source-confirmed 2026,"Also offers 5 km and caniwalk, excluded here where under 10 km.",https://canitrail.nl/events/canitrail-nettetal/,,uploaded 2026 CSV
2026-03-14,Netherlands,Dark Sky Trail Lauwersmeer,canitrail,10,,separate canitrailer start in regular event,source-confirmed 2026,Canitrailers start at 19:00; trailrunners at 19:15.,https://canitrail.nl/events/dark-sky-trail-lauwersmeer/,,uploaded 2026 CSV
2026-03-14 to 2026-03-15,Netherlands,Vuurtoren Trail Ameland,canitrail|dog friendly trail,10|18,,dogs allowed in regular trail,source-confirmed 2026,Canitrailers can join 6|10|18 km; only 10 and 18 included here.,https://canitrail.nl/events/vuurtoren-trail-ameland/,,uploaded 2026 CSV
2026-03-21,Hungary,Farkasordító 2.0,canicross|bike jöring|scooter,4-5,,MCSE dryland race,held,"Official MCSE event with Canicross, Bikejöring and scooter classes.",https://www.canicross.hu/farkasordito-2-0/,,European federation sweep 2026-09-12
2026-03-21,Germany,VulCanicross – Bubeck Tour,canicross|scooter|bike jöring,10,,dog-powered runner tour within VDSV race,held,"VDSV official race notice lists the Bubeck Tour at about 10 km for runners, bikers and scooters.",https://vdsv.de/wp-content/uploads/12.-VCC-Ausschreibung.pdf,,VDSV verification 2026-09-12
2026-04-04 to 2026-04-05,France,6e Canicross du Domaine de Givray,canicross,not published,,dedicated FFSLC canicross,held,Official FFSLC canicross weekend at Domaine de Givray.,https://courses.ffslc.fr/event-fiche/970,,FFSLC Canicross import 2026-09-12
2026-04-10 to 2026-04-12,UK,RAID Cani-Trail,canitrail|stage race,87,,multi-day dog trail event,source-confirmed 2026,Day 1 32 km + Day 2 42.5 km + Day 3 12.5 km = 87 km total. Mini RAID is 34.5 km total.,https://www.canitrailuk.co.uk/about-1,,uploaded 2026 CSV
2026-04-11,UK,Spring Run the Seasons Cowdray – CaniRun,canicross,10|16.1,,dedicated CaniRun starts,source-confirmed 2026,Official page lists separate 10 km and 10 mile CaniRun starts; 5 km excluded here.,https://rawenergypursuits.co.uk/spring-run-the-seasons-cowdray-9am-saturday-11th-april-2026/,,web verification 2026-09-12
2026-04-11,Hungary,Tavaszi fogócska 2.0,canicross|bike jöring|scooter,4.3,,MCSE dryland race,held,"Official MCSE event; main distance 4.3 km, short route 2.3 km.",https://www.canicross.hu/category/bikejoring/,,European federation sweep 2026-09-12
2026-04-18,UK,Thoresby Park Longhorn Trail,canicross|dog friendly trail,10|21.1,,canicross-friendly regular trail with separate start,source-confirmed 2026,10 km and half marathon are canicross friendly; separate canicross start. 5 km also dog-friendly but excluded here.,https://www.wilddeerevents.co.uk/e/thoresby-park-longhorn-trail-event-2026-14505,https://thoresby.com/events/the-longhorn-trail/,web verification 2026-09-12
2026-04-19,France,L’Epouvan’trail,canitrail,10,,dedicated canitrail distance,source-confirmed 2026,Pyrénées Chrono lists a 10 km canitrail.,https://pyreneeschrono.fr/evenement/epouvantrail/,https://www.finishers.com/en/event/l-epouvan-trail,uploaded 2026 CSV
2026-04-25 to 2026-04-26,Switzerland,Canitrail des Moines,canitrail|canicross,not published,,dedicated canitrail event,source-confirmed 2026,Date and dog format confirmed by Swiss Canicross; current 2026 page does not show exact km.,https://swiss-canicross.ch/courses/categorie/canitrails/,https://swiss-canicross.ch/course/canitrails-des-moines/,uploaded 2026 CSV
2026-04-25 to 2026-04-26,France,Trophée d'Agy 2026 – Canitrail,canitrail,15,700,dedicated FFSLC canitrail,held,Official FFSLC event page lists a 15 km canitrail with 700 m D+ on Sunday.,https://courses.ffslc.fr/event-fiche/1051,,FFSLC verification 2026-09-12
2026-04-26,UK,Scone Palace Trail Runs,canicross|dog friendly trail,10,,canicross-friendly regular trail,source-confirmed 2026,10 km route was canicross friendly; one controlled dog per runner. 5 km excluded here.,https://www.wilddeerevents.co.uk/e/scone-palace-trail-runs-2026-14510,https://gotrail.run/en/race/scone-palace-trail-runs,web verification 2026-09-12
2026-05-02 to 2026-05-03,France,3e Castel'Canicross de Blangy le Château – Canicross,canitrail|canicross,not published,,dedicated FFSLC canicross,held,Official FFSLC event with Canicross and Canitrail disciplines.,https://courses.ffslc.fr/event-fiche/992,,FFSLC Canicross import 2026-09-12
2026-05-02,Estonia,Baltosprint 2026,canicross|bike jöring|scooter,4,,Baltosport dryland race,held,"Official Baltosport event; 4 km adult trail with canicross, bikejoring and scooter classes.",https://baltosport.ee/en/baltosprint-2026-en/,,European federation sweep 2026-09-12
2026-05-08 to 2026-05-10,UK,Mynydd Y Gaer Mountain Challenge,stage race,10|17|35_total,,multi-day dog trail event,source-confirmed 2026,10 km and 17 km stages are in-range; full 3-day challenge totals 35 km if you also do the 8 km day.,https://www.canitrailuk.co.uk/cani-trail-mountain-challenge,,uploaded 2026 CSV
2026-05-10,Belgium,Cani-Trail & Trail des Ardennes,canitrail,11|17|27,,dedicated canitrail distances,source-confirmed 2026,"Registration page lists separate Canitrail Découverte, Court, and Long.",https://www.ledossard.com/inscription/index.php?id=3530,https://www.ultratiming.live/en/evenement/cani-trail-trail-des-ardennes-2026/epreuve/canitrail-court,uploaded 2026 CSV
2026-05-10,UK,Houghton Trail Event – 11K Canicross Run,canicross,11,,dedicated canicross distance,source-confirmed 2026,Annual event includes a separate 11 km canicross run alongside the trail run.,https://www.houghton-trail-event.org.uk/,https://www.timeoutdoors.com/events/the-houghton-trail-event/11k-canicross-run,web verification 2026-09-12
2026-05-14,Netherlands,Dauw Canitrail Xperience,canitrail,10|15|20,,dedicated canitrail event,source-confirmed 2026,Canitrail.NL event with 3 distances.,https://canitrail.nl/events/dauw-canitrail-xperience/,,uploaded 2026 CSV
2026-05-23,France,Les Gendarmes et les Voleurs de Temps – CaniTrail,canitrail,11.3,185,dedicated canitrail,held,"CaniTrail 11.3 km, co-organised with CANIPAT87.",https://gendarmes-et-voleurs.com/canitrail/,,web verification 2026-09-11
2026-05-24,France,5e Cani-Cross des Sénons,canicross,4,,dedicated FFSLC canicross,held,Official FFSLC event around Étang de Salcy; adult course 4 km.,https://courses.ffslc.fr/event-fiche/1067,,FFSLC Canicross import 2026-09-12
2026-05-30 to 2026-05-31,France,Canitrail des biches,canitrail,16.2,300,dedicated FFSLC canitrail,held,Official FFSLC event page lists 16.2 km and 300 m D+.,https://courses.ffslc.fr/event-fiche/1121/,https://ffslc.fr/wp-content/uploads/2025/06/REG-03.A21-Reglement-Canicross-Canitrail-Ski-joering.pdf,FFSLC verification 2026-09-12
2026-05-30,Italy,CLUT / UltraKtrail / Chien Ultra K,canitrail,10,,dedicated dog class within trail event,source-confirmed 2026,Official CLUT confirms 30 May 2026 event; Finishers confirms a 10 km dog class labeled Chien Ultra K / canitrail.,https://www.clut.run/quote-e-regolamento/,https://www.finishers.com/course/ultraktrail,uploaded 2026 CSV
2026-07-04,Belgium,Festival Trail Semois,canitrail,17|26,,dedicated canitrail distances,source-confirmed 2026,"Event also has a 9 km canitrail, excluded here because under 10 km.",https://www.ultratiming.live/en/evenement/festival-trail-semois-2026/epreuve/canitrail-17km,https://www.ultratiming.live/en/evenement/festival-trail-semois-2026/epreuve/canitrail-26km,uploaded 2026 CSV
2026-08-09,France,Canitrail dans le Taillefer,canitrail,not published (>9 per FFSLC rules),,dedicated FFSLC canitrail,held,Official FFSLC calendar classifies this as Canitrail; FFSLC rules define Canitrail as over 9 km.,https://courses.ffslc.fr/calendar,https://ffslc.fr/wp-content/uploads/2025/06/REG-03.A21-Reglement-Canicross-Canitrail-Ski-joering.pdf,FFSLC verification 2026-09-12
2026-08-18 to 2026-08-21,Netherlands,Cani- en Trail4Daagse Veluwezoom,canitrail|dog friendly trail|stage race,37_to_73_total,,multi-day trail opened to canitrailers,source-confirmed 2026,4-day format; total distance depends on chosen daily route length.,https://canitrail.nl/events/cani-en-trail4daagse-veluwezoom-2026/,,uploaded 2026 CSV
2026-08-21 to 2026-08-23,France,Canitrail du Diamant,canitrail|stage race,multi-stage >10 total,,dedicated FFST multi-day canitrail,held,Three-stage Canitrail in Praz-sur-Arly; official timing confirms 21–23 August 2026 and FFST lists it in the 2025/26 dryland season.,https://www.l-chrono.com/edition/canitrail-du-diamant-2026/,https://ffstmushing.org/saison-2025-2026/,FFST verification 2026-09-12
2026-08-22 to 2026-08-23,France,Canitrail sur les traces de Stevenson,canitrail,not published (>9 per FFSLC rules),,dedicated FFSLC canitrail,held,Official FFSLC calendar lists a Canitrail on 22–23 August; FFSLC rules define Canitrail as over 9 km.,https://courses.ffslc.fr/calendar,https://ffslc.fr/wp-content/uploads/2025/06/REG-03.A21-Reglement-Canicross-Canitrail-Ski-joering.pdf,FFSLC verification 2026-09-12
2026-08-29 to 2026-08-30,France,Trophée de Sirius des Aiguilles d'Arves,canitrail,not published (>9 per FFSLC rules),,dedicated FFSLC canitrail,held,Official FFSLC calendar classifies this event as Canitrail.,https://courses.ffslc.fr/calendar,https://ffslc.fr/wp-content/uploads/2025/06/REG-03.A21-Reglement-Canicross-Canitrail-Ski-joering.pdf,FFSLC verification 2026-09-12
2026-09-12 to 2026-09-13,Switzerland,Canicross Saint-Cierges,canicross,,,Swiss Canicross championship race,current,Official Swiss Canicross calendar.,https://swiss-canicross.ch/de/nos-courses/,,European federation sweep 2026-09-12
2026-09-12 to 2026-09-13,Sweden,Umeådraget,canicross|bike jöring|scooter,,,Sweden BCD priority race,current,Listed by Sweden BCD as a priority selection race for ICF WC 2027.,https://www.swedenbcd.se/,,European federation sweep 2026-09-12
2026-09-12 to 2026-09-13,France,Woofest,canitrail,not published (>9 per FFSLC rules),,FFSLC event with Canitrail,held,Official FFSLC calendar lists Canitrail among the disciplines.,https://courses.ffslc.fr/calendar,https://ffslc.fr/wp-content/uploads/2025/06/REG-03.A21-Reglement-Canicross-Canitrail-Ski-joering.pdf,FFSLC verification 2026-09-12
2026-09-13,UK,Beat the Black Dog Canitrail & Trail Run,canitrail,12,,dedicated canitrail + trail event,upcoming,12 km canitrail and trail run in Ogmore Vale; Canitrail UK terms referenced by organiser.,https://www.eventbrite.co.uk/e/beat-the-black-dog-12km-canitrail-and-trail-run-in-aid-of-papyrus-tickets-1987041685170,,web verification 2026-09-12
2026-09-13,France,Canitrail des montées du Daubenschlag,canitrail,12,,dedicated FFSLC canitrail,held,Official FFSLC event page states 12 km for the 2026 edition.,https://courses.ffslc.fr/event-fiche/1153/,https://courses.ffslc.fr/calendar,FFSLC verification 2026-09-12
2026-09-13,France,Woofest – Canicross,canicross,6,,dedicated FFSLC canicross,held,Official FFSLC listing; Sunday Canicross is 6 km.,https://courses.ffslc.fr/event-fiche/1197,https://courses.ffslc.fr/calendar,FFSLC Canicross import 2026-09-12
2026-09-19,Germany,ARBERLAND Ultra Trail – Hundelauf,dogs-trail,20|36,900|1500,dedicated dog start + ranking,upcoming,Dog ranking on Arbersee Trail and Schachtenbach Trail.,https://www.arberland-bayerischer-wald.de/aktiv-im-sommer/trailrunning/arberland-ultra-trail/,,web verification 2026-09-11
2026-09-19,France,Canicross du lac de Chour,canicross,not published,,dedicated FFSLC canicross,upcoming,Official FFSLC calendar lists adult Canicross.,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar,FFSLC Canicross import 2026-09-12
2026-09-19,UK,Limitless Trails – Trails & Tarmac Summer 12h BYU,canicross,4.2 mile loops up to 12h,,canicross-friendly endurance event,upcoming,12-hour backyard format on 4.2-mile loops; organiser states its events are canicross friendly.,https://www.limitlesstrails.co.uk/trails-and-tarmac-12hr-byu,https://www.limitlesstrails.co.uk/canicross-menu,web verification 2026-09-12
2026-09-20,Italy,CSEN Canicross Borno,canicross,,,CSEN Canicross championship race,upcoming,Official provisional CSEN 2026/27 calendar; ICF 2027 selection race.,https://discipline.csencinofilia.it/calendario-gare-2027/,,European federation sweep 2026-09-12
2026-09-20,France,Interclub des menhirs – Canicross,canicross,not published,,FFSLC canicross event,upcoming,Official FFSLC calendar lists Canicross court and Canicross long.,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar,FFSLC Canicross import 2026-09-12
2026-09-26 to 2026-09-27,Switzerland,Canicross Yens,canicross,,,Swiss Canicross championship race,upcoming,Official Swiss Canicross calendar.,https://swiss-canicross.ch/de/nos-courses/,,European federation sweep 2026-09-12
2026-09-26 to 2026-09-27,France,Canifadas de Gréolières,canitrail,not published (>9 per FFSLC rules),,FFSLC event with Canitrail,upcoming,Official FFSLC calendar lists Canitrail among the disciplines.,https://courses.ffslc.fr/calendar,https://ffslc.fr/wp-content/uploads/2025/06/REG-03.A21-Reglement-Canicross-Canitrail-Ski-joering.pdf,FFSLC verification 2026-09-12
2026-09-26 to 2026-09-27,France,Canifadas de Gréolières – Canicross,canitrail|canicross,not published,,FFSLC canicross event,upcoming,Official FFSLC calendar lists adult Canicross alongside Canitrail.,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar,FFSLC Canicross import 2026-09-12
2026-09-26,UK,Harewood Wild Autumn Trail Runs,canicross|dog friendly trail,16.1|24.1,,canicross-friendly regular trail,upcoming,10-mile and 15-mile routes are canicross friendly; one controlled dog per runner. 5-mile route excluded here.,https://harewood.org/events/wild-autumn-trail-runs/,https://www.wilddeerevents.co.uk/,web verification 2026-09-12
2026-09-26,Germany,MOUNTAINMAN Reit im Winkl – Dogs-Trail,dogs-trail,11|26,300|900,own dog starts + separate ranking,upcoming,S and M trails allow dogs; own dog starts and finisher medal.,https://www.chiemsee-chiemgau.info/mountainman-reit-im-winkl,,web verification 2026-09-11
2026-09-26 to 2026-09-27,France,Roazhon Run – Canicross,canicross,not published,,dedicated FFSLC canicross,upcoming,Official FFSLC calendar lists Canicross.,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar,FFSLC Canicross import 2026-09-12
2026-09-27,France,7e Canicross de Bully,canicross,not published,,dedicated FFSLC canicross,upcoming,Official FFSLC calendar lists Canicross court and long.,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar,FFSLC Canicross import 2026-09-12
2026-10-03 to 2026-10-04,France,14e Challenge Canicrossbreizh – Canicross,canicross,not published,,FFSLC canicross event,upcoming,Official FFSLC calendar lists adult Canicross.,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar,FFSLC Canicross import 2026-09-12
2026-10-03 to 2026-10-04,France,14ème Challenge Canicrossbreizh,canitrail|canicross,not published (>9 per FFSLC rules),,FFSLC event with Canitrail,upcoming,Official FFSLC calendar lists Canitrail among the disciplines.,https://courses.ffslc.fr/calendar,https://ffslc.fr/wp-content/uploads/2025/06/REG-03.A21-Reglement-Canicross-Canitrail-Ski-joering.pdf,FFSLC verification 2026-09-12
2026-10-03,Netherlands,Brekeld Runners Trail,dog friendly trail,10|15|20,,dogs allowed in regular trail,source-confirmed 2026,"Dogs welcome on 10 km, 15 km and 20 km.",https://canitrail.nl/events/brekeld-runners-trail/,,uploaded 2026 CSV
2026-10-03 to 2026-10-04,France,Canicross de la Meute,canitrail|canicross,not published (>9 per FFSLC rules),,FFSLC event with Canitrail,upcoming,Official FFSLC calendar lists Canitrail among the disciplines.,https://courses.ffslc.fr/calendar,https://ffslc.fr/wp-content/uploads/2025/06/REG-03.A21-Reglement-Canicross-Canitrail-Ski-joering.pdf,FFSLC verification 2026-09-12
2026-10-03 to 2026-10-04,France,Canicross de la Meute – Canicross,canicross,not published,,FFSLC canicross event,upcoming,Official FFSLC calendar lists Canicross court and adult disciplines.,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar,FFSLC Canicross import 2026-09-12
2026-10-03 to 2026-10-04,Switzerland,Canitrail des Bisses,canitrail,not published,,dedicated canitrail event,source-confirmed 2026,Adult canitrail and dog requirements confirmed; current 2026 pages do not show exact km.,https://www.myswitzerland.com/en-gb/experiences/events/canitrail-des-bisses/,https://lecanitraildesbisses.ch/informations/categories/,uploaded 2026 CSV
2026-10-03 to 2026-10-04,Sweden,Graningedraget,canicross|bike jöring|scooter,,,Sweden BCD priority race,upcoming,Listed by Sweden BCD as a priority selection race for ICF WC 2027.,https://www.swedenbcd.se/,,European federation sweep 2026-09-12
2026-10-03 to 2026-10-04,France,À'crocs de la vallée du Thouet #2,canitrail,not published (>9 per FFSLC rules),,FFSLC event with Canitrail,upcoming,Official FFSLC calendar lists Canitrail among the disciplines.,https://courses.ffslc.fr/calendar,https://ffslc.fr/wp-content/uploads/2025/06/REG-03.A21-Reglement-Canicross-Canitrail-Ski-joering.pdf,FFSLC verification 2026-09-12
2026-10-03 to 2026-10-04,France,À'crocs de la vallée du Thouet #2 – Canicross,canicross,not published,,FFSLC canicross event,upcoming,Official FFSLC calendar lists Canicross long and other Canicross classes.,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar,FFSLC Canicross import 2026-09-12
2026-10-04,France,Canicross de Bourghelles – 4e édition,canicross,not published,,dedicated FFSLC canicross,upcoming,Official FFSLC calendar lists Canicross.,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar,FFSLC Canicross import 2026-09-12
2026-10-04,France,Canitrail des Bagnards,canitrail,not published (>9 per FFSLC rules),,dedicated FFSLC canitrail,upcoming,Official FFSLC calendar classifies this as Canitrail.,https://courses.ffslc.fr/calendar,https://ffslc.fr/wp-content/uploads/2025/06/REG-03.A21-Reglement-Canicross-Canitrail-Ski-joering.pdf,FFSLC verification 2026-09-12
2026-10-04,Netherlands,CCNL Harderwijk,canicross|bike jöring|scooter,4.8,,official CCNL race,upcoming,"Official Canicross Nederland event; long canicross, bikejoring and step are approx. 4.8 km.",https://www.canicrossnederland.nl/2026-harderwijk.html,https://www.canicrossnederland.nl/kalender20262027.html,European federation sweep 2026-09-12
2026-10-04,Netherlands,Kustmarathon Zeeland Canitrail,canitrail,16,,dedicated canitrail distance,source-confirmed 2026,Official Kustmarathon page says first canitrail is 16 km offroad on 4 October 2026.,https://www.kustmarathon.nl/wedstrijd/canitrail/,https://www.kustmarathon.nl/,uploaded 2026 CSV
2026-10-10 to 2026-10-11,France,ACCRO'RUN #5 – Canicross,canicross,not published,,FFSLC canicross event,upcoming,"Official FFSLC calendar lists adult Canicross, short and long categories.",https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar,FFSLC Canicross import 2026-09-12
2026-10-10 to 2026-10-11,Switzerland,Canicross Koppigen,canicross,,,Swiss Canicross championship race,upcoming,Official Swiss Canicross calendar.,https://swiss-canicross.ch/de/nos-courses/,,European federation sweep 2026-09-12
2026-10-10,UK,Limitless Trails – The Loop Ultra,canicross|dog friendly trail,50,1482,canicross-friendly ultra,upcoming,32-mile / 50 km marked trail ultra; official event page explicitly says canicross friendly.,https://www.limitlesstrails.co.uk/the-loop-ultra,,web verification 2026-09-12
2026-10-10,France,Ouaffastienne et Maxiouaffastienne,canitrail,not published (>9 per FFSLC rules),,dedicated FFSLC canitrail,upcoming,Official FFSLC calendar classifies the event as Canitrail.,https://courses.ffslc.fr/calendar,https://ffslc.fr/wp-content/uploads/2025/06/REG-03.A21-Reglement-Canicross-Canitrail-Ski-joering.pdf,FFSLC verification 2026-09-12
2026-10-14 to 2026-10-18,Sweden,IFSS European Championships Dryland 2026,canicross|bike jöring|scooter,,,international dryland championship,upcoming,"Official AFSS listing places the IFSS European Championships in Gävle with Canicross, Bikejöring and Scooterjöring.",https://afss.at/event/european-championships-and-european-masters-dryland/,https://www.swedenbcd.se/,European federation sweep 2026-09-12
2026-10-17 to 2026-10-23,France,7e Challenge Trans'Pyr Ariégeois – Canicross,canicross,not published,,FFSLC canicross event,upcoming,Official FFSLC calendar event; Canicross included in the challenge.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2026-10-17 to 2026-10-18,Switzerland,Canicross La Givrine,canicross,,,Swiss Canicross championship race,upcoming,Official Swiss Canicross calendar.,https://swiss-canicross.ch/de/nos-courses/,,European federation sweep 2026-09-12
2026-10-17,France,Canitrail des Cadoles,canitrail,not published (>9 per FFSLC rules),,dedicated FFSLC canitrail,upcoming,Official FFSLC calendar classifies this as Canitrail.,https://courses.ffslc.fr/calendar,https://ffslc.fr/wp-content/uploads/2025/06/REG-03.A21-Reglement-Canicross-Canitrail-Ski-joering.pdf,FFSLC verification 2026-09-12
2026-10-17,France,La Tractopattes – Canicross caritatif,canicross,not published,,dedicated FFSLC canicross,upcoming,Official FFSLC calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2026-10-17 to 2026-10-18,France,La Wati'Dogs Run II – Canicross,canicross,not published,,FFSLC canicross event,upcoming,Official FFSLC calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2026-10-18,France,Canicross Val de Loire #17,canicross,not published,,dedicated FFSLC canicross,upcoming,Official FFSLC calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2026-10-18,France,Canitrail de la Brie,canitrail,not published (>9 per FFSLC rules),,dedicated FFSLC canitrail,upcoming,Official FFSLC calendar classifies this as Canitrail.,https://courses.ffslc.fr/calendar,https://ffslc.fr/wp-content/uploads/2025/06/REG-03.A21-Reglement-Canicross-Canitrail-Ski-joering.pdf,FFSLC verification 2026-09-12
2026-10-18,France,La Tractopattes – Championnat Régional R7 Canicross,canicross,not published,,FFSLC regional canicross championship,upcoming,Regional championship explicitly includes Canicross.,https://courses.ffslc.fr/event-fiche/1133/tests/,https://courses.ffslc.fr/calendar,FFSLC Canicross import 2026-09-12
2026-10-18,France,Les Régionaux de Manehouarn – Canicross R9,canicross,not published,,FFSLC regional canicross event,upcoming,Official FFSLC calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2026-10-24 to 2026-10-25,Switzerland,Canicross Ardon,canicross,,,Swiss Canicross championship race,upcoming,Official Swiss Canicross calendar.,https://swiss-canicross.ch/de/nos-courses/,,European federation sweep 2026-09-12
2026-10-24 to 2026-10-25,Germany,Harzer Luchstrail – Canicross,canicross,not published,,VDSV dryland Mono / Canicross,upcoming,VDSV race calendar; official organiser confirms 24–25 Oct 2026 and CaniX categories.,https://vdsv.de/kalender/,https://luchstrail.de/,VDSV Canicross import 2026-09-12
2026-10-24,France,La Canidé'cathlon #2 – Canicross,canicross,not published,,FFSLC canicross event,upcoming,Official FFSLC calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2026-10-25,Denmark,CaniXFyn – DCF Dog Series 1,canicross,,,Danish Canicross Federation series,upcoming,"Official DCF 2026/27 calendar, Morud.",https://www.danskcanicross.dk/kalender,,European federation sweep 2026-09-12
2026-10-25,Italy,FranciacorSa – Calino,canicross,,,CSEN Canicross championship race,upcoming,Official CSEN 2026/27 calendar; ICF 2027 selection race.,https://discipline.csencinofilia.it/calendario-gare-2027/,,European federation sweep 2026-09-12
2026-10-25,France,La CaniVertaco – Canicross,canicross,not published,,FFSLC canicross event,upcoming,Official FFSLC calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2026-10-30 to 2026-11-01,Sweden,Swedish Championship Nybro,canicross|bike jöring|scooter,,,Sweden BCD priority championship,upcoming,Listed by Sweden BCD as Swedish championship and priority selection race.,https://www.swedenbcd.se/,,European federation sweep 2026-09-12
