Date,Country,Event,Dog distance (km),Elevation (m+),Dog access,Status,Notes,Primary source,Secondary source,Origin
2026-05-23,France,Les Gendarmes et les Voleurs de Temps – CaniTrail,11.3,185,dedicated canitrail,held,"CaniTrail 11.3 km, co-organised with CANIPAT87.",https://gendarmes-et-voleurs.com/canitrail/,,web verification 2026-09-11
2026-05-30,Italy,CLUT / UltraKtrail / Chien Ultra K,10,,dedicated dog class within trail event,source-confirmed 2026,Official CLUT confirms 30 May 2026 event; Finishers confirms a 10 km dog class labeled Chien Ultra K / canitrail.,https://www.clut.run/quote-e-regolamento/,https://www.finishers.com/course/ultraktrail,uploaded 2026 CSV
2026-07-04,Belgium,Festival Trail Semois,17|26,,dedicated canitrail distances,source-confirmed 2026,"Event also has a 9 km canitrail, excluded here because under 10 km.",https://www.ultratiming.live/en/evenement/festival-trail-semois-2026/epreuve/canitrail-17km,https://www.ultratiming.live/en/evenement/festival-trail-semois-2026/epreuve/canitrail-26km,uploaded 2026 CSV
2026-08-18 to 2026-08-21,Netherlands,Cani- en Trail4Daagse Veluwezoom,37_to_73_total,,multi-day trail opened to canitrailers,source-confirmed 2026,4-day format; total distance depends on chosen daily route length.,https://canitrail.nl/events/cani-en-trail4daagse-veluwezoom-2026/,,uploaded 2026 CSV
2026-09-19,Germany,ARBERLAND Ultra Trail – Hundelauf,20|36,900|1500,dedicated dog start + ranking,upcoming,Dog ranking on Arbersee Trail and Schachtenbach Trail.,https://www.arberland-bayerischer-wald.de/aktiv-im-sommer/trailrunning/arberland-ultra-trail/,,web verification 2026-09-11
2026-09-26,Germany,MOUNTAINMAN Reit im Winkl – Dogs-Trail,11|26,300|900,own dog starts + separate ranking,upcoming,S and M trails allow dogs; own dog starts and finisher medal.,https://www.chiemsee-chiemgau.info/mountainman-reit-im-winkl,,web verification 2026-09-11
2026-10-03,Netherlands,Brekeld Runners Trail,10|15|20,,dogs allowed in regular trail,source-confirmed 2026,"Dogs welcome on 10 km, 15 km and 20 km.",https://canitrail.nl/events/brekeld-runners-trail/,,uploaded 2026 CSV
2026-10-03 to 2026-10-04,Switzerland,Canitrail des Bisses,not published,,dedicated canitrail event,source-confirmed 2026,Adult canitrail and dog requirements confirmed; current 2026 pages do not show exact km.,https://www.myswitzerland.com/en-gb/experiences/events/canitrail-des-bisses/,https://lecanitraildesbisses.ch/informations/categories/,uploaded 2026 CSV
2026-10-04,Netherlands,Kustmarathon Zeeland Canitrail,16,,dedicated canitrail distance,source-confirmed 2026,Official Kustmarathon page says first canitrail is 16 km offroad on 4 October 2026.,https://www.kustmarathon.nl/wedstrijd/canitrail/,https://www.kustmarathon.nl/,uploaded 2026 CSV
2026-10-31,France,Trail du Calvaire,12,,dedicated canitrail distance,source-confirmed 2026,Finishers shows Cani-Trail du Calvaire 12 km; Esprit Trail gives the 2026 date.,https://www.finishers.com/en/event/trail-du-calvaire,https://www.esprit-trail.com/calendrier_courses/le-noct%C2%92trail-du-calvaire/,uploaded 2026 CSV
2026-11-15,France,Trail des Châtaignes,11,,dedicated dog class within trail event,source-confirmed 2026,Finishers shows an 11 km dog class ‘Le Cani’; Esprit Trail gives the 2026 date.,https://www.finishers.com/en/event/trail-des-chataignes-de-cormeille-en-parisis,https://www.esprit-trail.com/calendrier_courses/trail-des-chataignes-2/,uploaded 2026 CSV
2026-12-06,Germany,MOUNTAINMAN Nikolaus-Trail Pommelsbrunn – Dogs-Trail,12|17,370|530,own Dogs-Trail start window + separate ranking,upcoming,Dogs start in a separate afternoon time window; S and M only.,https://mountainman.de/trailrunning-events/hills/nikolaustrail-pommelsbrunn/dogs-trail/,,web verification 2026-09-11
2027-01-24,Germany,MOUNTAINMAN Dogs-Winterloop Reit im Winkl,7.5 km loops,110 per loop,dog-only event day,registration open,3-hour challenge; Sunday reserved for dog teams.,https://mountainman.de/trailrunning-events/alps/winterloop-reit-im-winkl/dogs-trail/,,web verification 2026-09-11
2027-05-08,Germany,MOUNTAINMAN Nesselwang – Dogs-Trail,21 + S-distance,1268 + S not captured,own dog starts + separate ranking,registration open,"M trail confirmed at 21 km / 1,268 hm; dog slots limited to about 150.",https://mountainman.de/trailrunning-events/alps/nesselwang/dogs-trail/,,web verification 2026-09-11
2027-05-15,France,Les Gendarmes et les Voleurs de Temps – CaniTrail,11,221,dedicated canitrail,announced,"2027 event weekend is 15–16 May; canitrail page lists Saturday 15 May, 11 km.",https://gendarmes-et-voleurs.com/canitrail/,,web verification 2026-09-11
